Mon Jun  8 10:02:43 2026       
+---------------------------------------------------------------------------------------+
| NVIDIA-SMI 535.216.03             Driver Version: 535.216.03   CUDA Version: 12.2     |
|-----------------------------------------+----------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |         Memory-Usage | GPU-Util  Compute M. |
|                                         |                      |               MIG M. |
|=========================================+======================+======================|
|   0  Tesla V100-DGXS-32GB           On  | 00000000:08:00.0 Off |                    0 |
| N/A   46C    P0              40W / 300W |      0MiB / 32768MiB |      0%      Default |
|                                         |                      |                  N/A |
+-----------------------------------------+----------------------+----------------------+
                                                                                         
+---------------------------------------------------------------------------------------+
| Processes:                                                                            |
|  GPU   GI   CI        PID   Type   Process name                            GPU Memory |
|        ID   ID                                                             Usage      |
|=======================================================================================|
|  No running processes found                                                           |
+---------------------------------------------------------------------------------------+
/media/vhviet03/miniconda/envs/thesis/lib/python3.11/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/media/vhviet03/miniconda/envs/thesis/lib/python3.11/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=DenseNet121_Weights.IMAGENET1K_V1`. You can also use `weights=DenseNet121_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
Downloading: "https://download.pytorch.org/models/densenet121-a639ec97.pth" to /media/vhviet03/.cache/torch/hub/checkpoints/densenet121-a639ec97.pth
  0%|          | 0.00/30.8M [00:00<?, ?B/s]  2%|▏         | 512k/30.8M [00:00<00:06, 5.08MB/s]  3%|▎         | 1.00M/30.8M [00:00<00:06, 5.03MB/s]  5%|▌         | 1.62M/30.8M [00:00<00:05, 5.22MB/s]  7%|▋         | 2.25M/30.8M [00:00<00:05, 5.50MB/s]  9%|▉         | 2.88M/30.8M [00:00<00:05, 5.82MB/s] 12%|█▏        | 3.62M/30.8M [00:00<00:04, 6.26MB/s] 14%|█▍        | 4.38M/30.8M [00:00<00:04, 6.67MB/s] 17%|█▋        | 5.12M/30.8M [00:00<00:03, 6.85MB/s] 19%|█▉        | 5.88M/30.8M [00:00<00:03, 7.04MB/s] 21%|██▏       | 6.62M/30.8M [00:01<00:03, 7.12MB/s] 24%|██▍       | 7.38M/30.8M [00:01<00:03, 7.14MB/s] 26%|██▋       | 8.12M/30.8M [00:01<00:03, 7.22MB/s] 29%|██▉       | 8.88M/30.8M [00:01<00:03, 7.32MB/s] 31%|███       | 9.62M/30.8M [00:01<00:03, 7.36MB/s] 34%|███▎      | 10.4M/30.8M [00:01<00:02, 7.41MB/s] 36%|███▌      | 11.1M/30.8M [00:01<00:02, 7.46MB/s] 38%|███▊      | 11.9M/30.8M [00:01<00:02, 7.40MB/s] 41%|████      | 12.6M/30.8M [00:01<00:02, 7.38MB/s] 43%|████▎     | 13.4M/30.8M [00:02<00:02, 7.43MB/s] 46%|████▌     | 14.1M/30.8M [00:02<00:02, 7.49MB/s] 49%|████▊     | 15.0M/30.8M [00:02<00:02, 7.64MB/s] 51%|█████▏    | 15.9M/30.8M [00:02<00:02, 7.73MB/s] 54%|█████▍    | 16.8M/30.8M [00:02<00:01, 7.83MB/s] 57%|█████▋    | 17.6M/30.8M [00:02<00:01, 7.92MB/s] 60%|█████▉    | 18.5M/30.8M [00:02<00:01, 8.04MB/s] 63%|██████▎   | 19.4M/30.8M [00:02<00:01, 8.17MB/s] 66%|██████▌   | 20.2M/30.8M [00:02<00:01, 8.18MB/s] 68%|██████▊   | 21.1M/30.8M [00:03<00:01, 8.19MB/s] 71%|███████▏  | 22.0M/30.8M [00:03<00:01, 8.17MB/s] 74%|███████▍  | 22.9M/30.8M [00:03<00:01, 8.17MB/s] 77%|███████▋  | 23.8M/30.8M [00:03<00:00, 8.12MB/s] 80%|███████▉  | 24.6M/30.8M [00:03<00:00, 8.17MB/s] 83%|████████▎ | 25.5M/30.8M [00:03<00:00, 8.13MB/s] 86%|████████▌ | 26.4M/30.8M [00:03<00:00, 8.06MB/s] 88%|████████▊ | 27.2M/30.8M [00:03<00:00, 8.03MB/s] 91%|█████████ | 28.1M/30.8M [00:03<00:00, 8.03MB/s] 94%|█████████▍| 29.0M/30.8M [00:04<00:00, 8.07MB/s] 97%|█████████▋| 29.9M/30.8M [00:04<00:00, 8.03MB/s]100%|█████████▉| 30.8M/30.8M [00:04<00:00, 8.08MB/s]100%|██████████| 30.8M/30.8M [00:04<00:00, 7.52MB/s]
=> no checkpoint found
Using a deterministic validation subset: 10000/51480 samples

============================================================
Training epoch 1/20...
============================================================
[1, 5] | loss: 5.0603 | contrastive: 3.9179 | asl: 1.1424
[1, 10] | loss: 4.8502 | contrastive: 3.8882 | asl: 0.9620
[1, 15] | loss: 4.7344 | contrastive: 3.9062 | asl: 0.8282
[1, 20] | loss: 4.6900 | contrastive: 3.9228 | asl: 0.7672
[1, 25] | loss: 4.7051 | contrastive: 3.9218 | asl: 0.7833
[1, 30] | loss: 4.6554 | contrastive: 3.9029 | asl: 0.7526
[1, 35] | loss: 4.6317 | contrastive: 3.9017 | asl: 0.7300
[1, 40] | loss: 4.6284 | contrastive: 3.9060 | asl: 0.7224
[1, 45] | loss: 4.5873 | contrastive: 3.8878 | asl: 0.6995
[1, 50] | loss: 4.6450 | contrastive: 3.8802 | asl: 0.7648
[1, 55] | loss: 4.6087 | contrastive: 3.8778 | asl: 0.7309
[1, 60] | loss: 4.6095 | contrastive: 3.8917 | asl: 0.7178
[1, 65] | loss: 4.6263 | contrastive: 3.8897 | asl: 0.7367
[1, 70] | loss: 4.5956 | contrastive: 3.8793 | asl: 0.7163
[1, 75] | loss: 4.6431 | contrastive: 3.9002 | asl: 0.7429
[1, 80] | loss: 4.5913 | contrastive: 3.8711 | asl: 0.7202
[1, 85] | loss: 4.5617 | contrastive: 3.8691 | asl: 0.6925
[1, 90] | loss: 4.5757 | contrastive: 3.8651 | asl: 0.7106
[1, 95] | loss: 4.5812 | contrastive: 3.8685 | asl: 0.7128
[1, 100] | loss: 4.6565 | contrastive: 3.8818 | asl: 0.7747
[1, 105] | loss: 4.6077 | contrastive: 3.8923 | asl: 0.7154
[1, 110] | loss: 4.6191 | contrastive: 3.8732 | asl: 0.7459
[1, 115] | loss: 4.6109 | contrastive: 3.8993 | asl: 0.7116
[1, 120] | loss: 4.5764 | contrastive: 3.8698 | asl: 0.7066
[1, 125] | loss: 4.5867 | contrastive: 3.8640 | asl: 0.7227
[1, 130] | loss: 4.5764 | contrastive: 3.8466 | asl: 0.7298
[1, 135] | loss: 4.5947 | contrastive: 3.8792 | asl: 0.7155
[1, 140] | loss: 4.5548 | contrastive: 3.8568 | asl: 0.6981
[1, 145] | loss: 4.5691 | contrastive: 3.8647 | asl: 0.7044
[1, 150] | loss: 4.5697 | contrastive: 3.8706 | asl: 0.6991
[1, 155] | loss: 4.5697 | contrastive: 3.8596 | asl: 0.7101
[1, 160] | loss: 4.5788 | contrastive: 3.8654 | asl: 0.7134
[1, 165] | loss: 4.5979 | contrastive: 3.8725 | asl: 0.7254
[1, 170] | loss: 4.5277 | contrastive: 3.8612 | asl: 0.6664
[1, 175] | loss: 4.6044 | contrastive: 3.8784 | asl: 0.7260
[1, 180] | loss: 4.5423 | contrastive: 3.8587 | asl: 0.6837
[1, 185] | loss: 4.5526 | contrastive: 3.8553 | asl: 0.6973
[1, 190] | loss: 4.5320 | contrastive: 3.8516 | asl: 0.6805
[1, 195] | loss: 4.5275 | contrastive: 3.8609 | asl: 0.6666
[1, 200] | loss: 4.5101 | contrastive: 3.8534 | asl: 0.6568
[1, 205] | loss: 4.5072 | contrastive: 3.8566 | asl: 0.6507
[1, 210] | loss: 4.5555 | contrastive: 3.8612 | asl: 0.6943
[1, 215] | loss: 4.5357 | contrastive: 3.8519 | asl: 0.6838
[1, 220] | loss: 4.5650 | contrastive: 3.8624 | asl: 0.7026
[1, 225] | loss: 4.5744 | contrastive: 3.8737 | asl: 0.7007
[1, 230] | loss: 4.5658 | contrastive: 3.8648 | asl: 0.7010
[1, 235] | loss: 4.5612 | contrastive: 3.8531 | asl: 0.7080
[1, 240] | loss: 4.5441 | contrastive: 3.8543 | asl: 0.6898
[1, 245] | loss: 4.5363 | contrastive: 3.8465 | asl: 0.6898
[1, 250] | loss: 4.5092 | contrastive: 3.8471 | asl: 0.6620
[1, 255] | loss: 4.5250 | contrastive: 3.8436 | asl: 0.6815
[1, 260] | loss: 4.5011 | contrastive: 3.8320 | asl: 0.6691
[1, 265] | loss: 4.4912 | contrastive: 3.8380 | asl: 0.6531
[1, 270] | loss: 4.5709 | contrastive: 3.8608 | asl: 0.7101
[1, 275] | loss: 4.5508 | contrastive: 3.8541 | asl: 0.6967
[1, 280] | loss: 4.5216 | contrastive: 3.8433 | asl: 0.6782
[1, 285] | loss: 4.5436 | contrastive: 3.8450 | asl: 0.6986
[1, 290] | loss: 4.5363 | contrastive: 3.8375 | asl: 0.6988
[1, 295] | loss: 4.5021 | contrastive: 3.8386 | asl: 0.6635
[1, 300] | loss: 4.5375 | contrastive: 3.8506 | asl: 0.6869
[1, 305] | loss: 4.5122 | contrastive: 3.8578 | asl: 0.6544
[1, 310] | loss: 4.5127 | contrastive: 3.8349 | asl: 0.6778
[1, 315] | loss: 4.5723 | contrastive: 3.8517 | asl: 0.7206
[1, 320] | loss: 4.5028 | contrastive: 3.8378 | asl: 0.6650
[1, 325] | loss: 4.5163 | contrastive: 3.8292 | asl: 0.6871
[1, 330] | loss: 4.5104 | contrastive: 3.8318 | asl: 0.6786
[1, 335] | loss: 4.5543 | contrastive: 3.8591 | asl: 0.6952
[1, 340] | loss: 4.4673 | contrastive: 3.8365 | asl: 0.6308
[1, 345] | loss: 4.5169 | contrastive: 3.8270 | asl: 0.6899
[1, 350] | loss: 4.5595 | contrastive: 3.8292 | asl: 0.7303
[1, 355] | loss: 4.5297 | contrastive: 3.8429 | asl: 0.6868
